ID	PARAMETER_ID	CONCEPT	DOCULECT	LANGUAGE_NAME	VALUE	FORM	TOKENS	GLOTTOLOG	CONCEPTICON	LATITUDE	LONGITUDE	COGNACY	LOAN	RID	SOURCE
335	141_theneedleforsewing	the needle (for sewing)	Shergaon	She.	pʰli	pʰli	pʰ l i	sher1261	1382	27.105018	92.272133	2264	FALSE	5742	LandB2017
336	141_theneedleforsewing	the needle (for sewing)	BhutanTshangla	Tshangla	kʰap	kʰap	kʰ a p	tsha1245	1382	27.337241	91.551654	10231	FALSE	5743	LandB2017
2524	144_thenit	the nit	BuluPuroik	BP	ʃiʔ+wɛː	ʃiʔ+wɛː	ʃ i ʔ + w ɛː	bulu1255	267	27.452241	92.44563		FALSE	0	Lieberherr2017
2525	144_thenit	the nit	Khispi	Khs.	hek+saŋ	hek+saŋ	h e k + s a ŋ	lish1235	267	27.378042	92.223221		FALSE	0	LandB2017
2526	144_thenit	the nit	Duhumbi	Duh.	hes+kaŋ	hes+kaŋ	h e s + k a ŋ	chug1252	267	27.416112	92.212034		FALSE	0	LandB2017
2527	144_thenit	the nit	BhutanTshangla	Tshangla	dʑis+kaŋ	dʑis+kaŋ	dʑ i s + k a ŋ	tsha1245	267	27.337241	91.551654		FALSE	0	LandB2017
1466	146_thenose	the nose	BuluPuroik	BP	a.puŋ	a.puŋ	a + p u ŋ	bulu1255	1221	27.452241	92.44563	2108	FALSE	5914	Lieberherr2017
1467	146_thenose	the nose	DikhyangBugun	Bugun S-D	e.pʰuŋ	e.pʰuŋ	e + pʰ u ŋ	dikh1234	1221	27.320666	92.455119	2108	FALSE	5915	LandB2017
1468	146_thenose	the nose	Khispi	Khs.	hɛm.pʰɔŋ	hɛm.pʰɔŋ	h ɛ m + pʰ ɔ ŋ	lish1235	1221	27.378042	92.223221	2108	FALSE	5916	LandB2017
1469	146_thenose	the nose	Duhumbi	Duh.	hɛm.pʰɔŋ	hɛm.pʰɔŋ	h ɛ m + pʰ ɔ ŋ	chug1252	1221	27.416112	92.212034	2108	FALSE	5917	LandB2017
1470	146_thenose	the nose	Khoina	Khn.	nə.pʰuŋ	nə.pʰuŋ	n ə + pʰ u ŋ	khoi1253	1221	27.334981	92.52994	2108	FALSE	5918	LandB2017
1471	146_thenose	the nose	Jerigaon	Jer.	nə.pʰuŋ	nə.pʰuŋ	n ə + pʰ u ŋ	jeri1243	1221	27.340629	92.486595	2108	FALSE	5919	LandB2017
1472	146_thenose	the nose	Khoitam	Kht.	nə.pʰuŋ	nə.pʰuŋ	n ə + pʰ u ŋ	khoi1252	1221	27.327487	92.439455	2108	FALSE	5920	LandB2017
1473	146_thenose	the nose	Rahung	Rah.	ma.pʰuŋ	ma.pʰuŋ	m a + pʰ u ŋ	rahu1234	1221	27.310778	92.395028	2108	FALSE	5921	LandB2017
1474	146_thenose	the nose	Rupa	Rup.	nə.pʰuŋ	nə.pʰuŋ	n ə + pʰ u ŋ	rupa1234	1221	27.203065	92.398757	2108	FALSE	5922	LandB2017
1475	146_thenose	the nose	Shergaon	She.	nə.pʰuŋ	nə.pʰuŋ	n ə + pʰ u ŋ	sher1261	1221	27.105018	92.272133	2108	FALSE	5923	LandB2017
1476	146_thenose	the nose	BhutanTshangla	Tshangla	na+huŋ	na+huŋ	n a + h u ŋ	tsha1245	1221	27.337241	91.551654	2108	FALSE	5924	LandB2017
1875	149_theotter	the otter	BuluPuroik	BP	sə.rjam	sə.rjam	s ə + r j a m	bulu1255	15	27.452241	92.44563	1290	FALSE	6062	Lieberherr2017
1876	149_theotter	the otter	DikhyangBugun	Bugun S-D	ũ.mɔk	ũ.mɔk	ũ + m ɔ k	dikh1234	15	27.320666	92.455119	156	FALSE	6063	LandB2017
1877	149_theotter	the otter	Khispi	Khs.	ɕa.lam	ɕa.lam	ɕ a + l a m	lish1235	15	27.378042	92.223221	1290	FALSE	6064	LandB2017
1878	149_theotter	the otter	Duhumbi	Duh.	ɕa.ram	ɕa.ram	ɕ a + r a m	chug1252	15	27.416112	92.212034	1290	FALSE	6065	LandB2017
1879	149_theotter	the otter	Khoina	Khn.	nə.mak	nə.mak	n ə + m a k	khoi1253	15	27.334981	92.52994	156	FALSE	6066	LandB2017
1880	149_theotter	the otter	Jerigaon	Jer.	ny.mak	ny.mak	n y + m a k	jeri1243	15	27.340629	92.486595	156	FALSE	6067	LandB2017
1881	149_theotter	the otter	Khoitam	Kht.	ny.mak	ny.mak	n y + m a k	khoi1252	15	27.327487	92.439455	156	FALSE	6068	LandB2017
1882	149_theotter	the otter	Rahung	Rah.	ny.mak	ny.mak	n y + m a k	rahu1234	15	27.310778	92.395028	156	FALSE	6069	LandB2017
1883	149_theotter	the otter	Rupa	Rup.	ɲy.mak	ɲy.mak	ɲ y + m a k	rupa1234	15	27.203065	92.398757	156	FALSE	6070	LandB2017
1884	149_theotter	the otter	Shergaon	She.	ɲuˀ.mak	ɲuˀ.mak	ɲ uˀ + m a k	sher1261	15	27.105018	92.272133	156	FALSE	6071	LandB2017
1885	149_theotter	the otter	BhutanTshangla	Tshangla	sam+to+ka	sam+to+ka	s a m + t o + k a	tsha1245	15	27.337241	91.551654	1290	FALSE	6072	LandB2017
403	151_thepig	the pig	BuluPuroik	BP	waʔ	waʔ	w a ʔ	bulu1255	1337	27.452241	92.44563	2092	FALSE	6145	Lieberherr2017
404	151_thepig	the pig	DikhyangBugun	Bugun S-D	wɔk	wɔk	w ɔ k	dikh1234	1337	27.320666	92.455119	2092	FALSE	6146	LandB2017
405	151_thepig	the pig	Khispi	Khs.	ɕa.bak	ɕa.bak	ɕ a + b a k	lish1235	1337	27.378042	92.223221	2092	FALSE	6147	LandB2017
406	151_thepig	the pig	Duhumbi	Duh.	ɕa.bak	ɕa.bak	ɕ a + b a k	chug1252	1337	27.416112	92.212034	2092	FALSE	6148	LandB2017
407	151_thepig	the pig	Khoina	Khn.	ʂu.wak	ʂu.wak	ʂ u + w a k	khoi1253	1337	27.334981	92.52994	2092	FALSE	6149	LandB2017
408	151_thepig	the pig	Jerigaon	Jer.	sə.wak	sə.wak	s ə + w a k	jeri1243	1337	27.340629	92.486595	2092	FALSE	6150	LandB2017
409	151_thepig	the pig	Khoitam	Kht.	su.wak	su.wak	s u + w a k	khoi1252	1337	27.327487	92.439455	2092	FALSE	6151	LandB2017
410	151_thepig	the pig	Rahung	Rah.	su.wak	su.wak	s u + w a k	rahu1234	1337	27.310778	92.395028	2092	FALSE	6152	LandB2017
411	151_thepig	the pig	Rupa	Rup.	su.wak	su.wak	s u + w a k	rupa1234	1337	27.203065	92.398757	2092	FALSE	6153	LandB2017
412	151_thepig	the pig	Shergaon	She.	su.wak	su.wak	s u + w a k	sher1261	1337	27.105018	92.272133	2092	FALSE	6154	LandB2017
413	151_thepig	the pig	BhutanTshangla	Tshangla	pʰak+pa	pʰak+pa	pʰ a k + p a	tsha1245	1337	27.337241	91.551654	2092	FALSE	6155	LandB2017
847	156_therain	the rain	BuluPuroik	BP	haN.pʰii	ham.pʰii	h a m + pʰ iː	bulu1255	658	27.452241	92.44563	982	FALSE	6383	Lieberherr2017
848	156_therain	the rain	DikhyangBugun	Bugun S-D	ha.pʰʲɛ	ha.pʰʲɛ	h a + pʰ j ɛ	dikh1234	658	27.320666	92.455119	982	FALSE	6384	LandB2017
849	156_therain	the rain	Khispi	Khs.	na.mu	na.mu	n a + m u	lish1235	658	27.378042	92.223221	1164	FALSE	6385	LandB2017
850	156_therain	the rain	Duhumbi	Duh.	na.mu	na.mu	n a + m u	chug1252	658	27.416112	92.212034	1164	FALSE	6386	LandB2017
851	156_therain	the rain	Khoina	Khn.	na.tsʰu	na.tsʰu	n a + tsʰ u	khoi1253	658	27.334981	92.52994	975	FALSE	6387	LandB2017
852	156_therain	the rain	Jerigaon	Jer.	nə.tɕʰu	nə.tɕʰu	n ə + tɕʰ u	jeri1243	658	27.340629	92.486595	975	FALSE	6388	LandB2017
853	156_therain	the rain	Khoitam	Kht.	nə.tɕʰu	nə.tɕʰu	n ə + tɕʰ u	khoi1252	658	27.327487	92.439455	975	FALSE	6389	LandB2017
854	156_therain	the rain	Rahung	Rah.	pʰ.tɕʰu	pʰ.tɕʰu	pʰ + tɕʰ u	rahu1234	658	27.310778	92.395028	975	FALSE	6390	LandB2017
855	156_therain	the rain	Rupa	Rup.	nə.tsʰu	nə.tsʰu	n ə + tsʰ u	rupa1234	658	27.203065	92.398757	975	FALSE	6391	LandB2017
856	156_therain	the rain	Shergaon	She.	ni.mi	ni.mi	n i + m i	sher1261	658	27.105018	92.272133	1164	FALSE	6392	LandB2017
857	156_therain	the rain	BhutanTshangla	Tshangla	ŋam+su	ŋam+su	ŋ a m + s u	tsha1245	658	27.337241	91.551654	93	FALSE	6393	LandB2017
1886	157_therainbow	the rainbow	BuluPuroik	BP	mɛn.ʧin	mɛn.ʧin	m ɛ n + tʃ i n	bulu1255	1733	27.452241	92.44563	3089	FALSE	6433	Lieberherr2017
1887	157_therainbow	the rainbow	DikhyangBugun	Bugun S-D	pʰa.ruaŋ ma.kʰuaŋ	pʰa.ruaŋ_ma.kʰuaŋ	pʰ a + r u/w a ŋ + m a + kʰ u/w a ŋ	dikh1234	1733	27.320666	92.455119	987	FALSE	6434	LandB2017
1888	157_therainbow	the rainbow	Khispi	Khs.	tʰɔŋ.liŋ	tʰɔŋ.liŋ	tʰ ɔ ŋ + l i ŋ	lish1235	1733	27.378042	92.223221	988	FALSE	6435	LandB2017
1889	157_therainbow	the rainbow	Duhumbi	Duh.	tʰɔŋ.liŋ	tʰɔŋ.liŋ	tʰ ɔ ŋ + l i ŋ	chug1252	1733	27.416112	92.212034	988	FALSE	6436	LandB2017
1890	157_therainbow	the rainbow	Khoina	Khn.	pa.hu	pa.hu	p a + h u	khoi1253	1733	27.334981	92.52994	990	FALSE	6437	LandB2017
1891	157_therainbow	the rainbow	Jerigaon	Jer.	pʰaŋ.lu	pʰaŋ.lu	pʰ a ŋ + l u	jeri1243	1733	27.340629	92.486595	990	FALSE	6438	LandB2017
1892	157_therainbow	the rainbow	Khoitam	Kht.	pʰaŋ.lu	pʰaŋ.lu	pʰ a ŋ + l u	khoi1252	1733	27.327487	92.439455	990	FALSE	6439	LandB2017
1893	157_therainbow	the rainbow	Rahung	Rah.	pʰaŋ.ruŋ	pʰaŋ.ruŋ	pʰ a ŋ + r u ŋ	rahu1234	1733	27.310778	92.395028	990	FALSE	6440	LandB2017
1894	157_therainbow	the rainbow	Rupa	Rup.	pʰaŋ.kʰə.lu	pʰaŋ.kʰə.lu	pʰ a ŋ + kʰ ə + l u	rupa1234	1733	27.203065	92.398757	990	FALSE	6441	LandB2017
1895	157_therainbow	the rainbow	Shergaon	She.	pʰaŋ.kʰə.lu	pʰaŋ.kʰə.lu	pʰ a ŋ + kʰ ə + l u	sher1261	1733	27.105018	92.272133	990	FALSE	6442	LandB2017
1896	157_therainbow	the rainbow	BhutanTshangla	Tshangla	dar+mi+zum	dar+mi+zum	d a r + m i + z u m	tsha1245	1733	27.337241	91.551654	985	FALSE	6443	LandB2017
689	160_thericeplant	the rice plant	BuluPuroik	BP	njɛN.ʃiʔ	njɛŋ.ʃiʔ	n j ɛ ŋ + ʃ i ʔ	bulu1255	2026	27.452241	92.44563	772	FALSE	6573	Lieberherr2017
690	160_thericeplant	the rice plant	DikhyangBugun	Bugun S-D	ɲɛn.kau	ɲɛn.kau	ɲ ɛ n + k au	dikh1234	2026	27.320666	92.455119	9001	FALSE	6574	LandB2017
691	160_thericeplant	the rice plant	Khispi	Khs.	ni.ɕi	ni.ɕi	n i + ɕ i	lish1235	2026	27.378042	92.223221	772	FALSE	6575	LandB2017
692	160_thericeplant	the rice plant	Duhumbi	Duh.	ni.ɕi	ni.ɕi	n i + ɕ i	chug1252	2026	27.416112	92.212034	772	FALSE	6576	LandB2017
693	160_thericeplant	the rice plant	Khoina	Khn.	tsʰuˀ.ʂe	tsʰuˀ.ʂe	tsʰ uˀ + ʂ e	khoi1253	2026	27.334981	92.52994	772	FALSE	6577	LandB2017
694	160_thericeplant	the rice plant	Jerigaon	Jer.	a.se	a.se	a + s e	jeri1243	2026	27.340629	92.486595	772	FALSE	6578	LandB2017
695	160_thericeplant	the rice plant	Khoitam	Kht.	nə.se	nə.se	n ə + s e	khoi1252	2026	27.327487	92.439455	772	FALSE	6579	LandB2017
696	160_thericeplant	the rice plant	Rahung	Rah.	tɕʰuˀ a.se	tɕʰuˀ_a.se	tɕʰ uˀ + a + s e	rahu1234	2026	27.310778	92.395028	772	FALSE	6580	LandB2017
697	160_thericeplant	the rice plant	Rupa	Rup.	nə.se	nə.se	n ə + s e	rupa1234	2026	27.203065	92.398757	772	FALSE	6581	LandB2017
698	160_thericeplant	the rice plant	Shergaon	She.	ni.se	ni.se	n i + s e	sher1261	2026	27.105018	92.272133	772	FALSE	6582	LandB2017
699	160_thericeplant	the rice plant	BhutanTshangla	Tshangla	ba+ra	ba+ra	b a + r a	tsha1245	2026	27.337241	91.551654	166	FALSE	6583	LandB2017
2310	162_theriver	the river	BuluPuroik	BP	kʰɔɔ	kʰɔɔ	kʰ ɔː	bulu1255	666	27.452241	92.44563	991	FALSE	6653	Lieberherr2017
2311	162_theriver	the river	DikhyangBugun	Bugun S-D	kʰo.bo	kʰo.bo	kʰ o + b o	dikh1234	666	27.320666	92.455119	995	FALSE	6654	LandB2017
2312	162_theriver	the river	Khispi	Khs.	kʰaw.mo	kʰaw.mo	kʰ au + m o	lish1235	666	27.378042	92.223221	995	FALSE	6655	LandB2017
2313	162_theriver	the river	Duhumbi	Duh.	kʰɔw.ma	kʰɔw.ma	kʰ ɔu + m a	chug1252	666	27.416112	92.212034	995	FALSE	6656	LandB2017
2314	162_theriver	the river	Khoina	Khn.	kʰɔ a.dɔk	kʰɔ_a.dɔk	kʰ ɔ + a + d ɔ k	khoi1253	666	27.334981	92.52994	998	FALSE	6657	LandB2017
2315	162_theriver	the river	Jerigaon	Jer.	kʰɔ	kʰɔ	kʰ ɔ	jeri1243	666	27.340629	92.486595	991	FALSE	6658	LandB2017
2316	162_theriver	the river	Khoitam	Kht.	bə.dʑaŋ kʰo	bə.dʑaŋ_kʰo	b ə + dʑ a ŋ + kʰ o	khoi1252	666	27.327487	92.439455	999	FALSE	6659	LandB2017
2317	162_theriver	the river	Rahung	Rah.	bə.dʑaŋ kʰo	bə.dʑaŋ_kʰo	b ə + dʑ a ŋ + kʰ o	rahu1234	666	27.310778	92.395028	999	FALSE	6660	LandB2017
2318	162_theriver	the river	Rupa	Rup.	kʰɔ.rɔŋ	kʰɔ.rɔŋ	kʰ ɔ + r ɔ ŋ	rupa1234	666	27.203065	92.398757	1000	FALSE	6661	LandB2017
2319	162_theriver	the river	Shergaon	She.	kʰɔ.suk	kʰɔ.suk	kʰ ɔ + s u k	sher1261	666	27.105018	92.272133	1006	FALSE	6662	LandB2017
2320	162_theriver	the river	BhutanTshangla	Tshangla	ri	ri	r i	tsha1245	666	27.337241	91.551654	2346	FALSE	6663	LandB2017
783	163_theroad	the road	BuluPuroik	BP	lim	lim	l i m	bulu1255	667	27.452241	92.44563	2206	FALSE	6704	Lieberherr2017
784	163_theroad	the road	DikhyangBugun	Bugun S-D	lə.muə	lə.muə	l ə + m u/w ə	dikh1234	667	27.320666	92.455119	2206	FALSE	6705	LandB2017
785	163_theroad	the road	Khispi	Khs.	hu.ma	hu.ma	h u + m a	lish1235	667	27.378042	92.223221	2206	FALSE	6706	LandB2017
786	163_theroad	the road	Duhumbi	Duh.	hu.ma	hu.ma	h u + m a	chug1252	667	27.416112	92.212034	2206	FALSE	6707	LandB2017
787	163_theroad	the road	Khoina	Khn.	ham	ham	h a m	khoi1253	667	27.334981	92.52994	2206	FALSE	6708	LandB2017
788	163_theroad	the road	Jerigaon	Jer.	lə.mu	lə.mu	l ə + m u	jeri1243	667	27.340629	92.486595	2206	FALSE	6709	LandB2017
789	163_theroad	the road	Khoitam	Kht.	ly.m	ly.m	l y + m	khoi1252	667	27.327487	92.439455	2206	FALSE	6710	LandB2017
790	163_theroad	the road	Rahung	Rah.	lu.m	lu.m	l u + m	rahu1234	667	27.310778	92.395028	2206	FALSE	6711	LandB2017
791	163_theroad	the road	Rupa	Rup.	lə.mu	lə.mu	l ə + m u	rupa1234	667	27.203065	92.398757	2206	FALSE	6712	LandB2017
792	163_theroad	the road	Shergaon	She.	lə.mu	lə.mu	l ə + m u	sher1261	667	27.105018	92.272133	2206	FALSE	6713	LandB2017
793	163_theroad	the road	BhutanTshangla	Tshangla	lam	lam	l a m	tsha1245	667	27.337241	91.551654	2206	FALSE	6714	LandB2017
436	164_theroot	the root	BuluPuroik	BP	a.kɨŋ	a.kɨŋ	a + k ɨ ŋ	bulu1255	670	27.452241	92.44563	1819	FALSE	6753	Lieberherr2017
437	164_theroot	the root	DikhyangBugun	Bugun S-D	ə.rəŋ	ə.rəŋ	ə + r ə ŋ	dikh1234	670	27.320666	92.455119	225	FALSE	6754	LandB2017
438	164_theroot	the root	Khispi	Khs.	hiŋ.ŋa lɛj	hiŋ.ŋa_lɛj	h i ŋ + ŋ a + l ɛ j	lish1235	670	27.378042	92.223221	1008	FALSE	6755	LandB2017
439	164_theroot	the root	Duhumbi	Duh.	ra.ba	ra.ba	r a + b a	chug1252	670	27.416112	92.212034	3573	TRUE	6756	LandB2017
440	164_theroot	the root	Khoina	Khn.	a.xĩ	a.xĩ	a + x ĩ	khoi1253	670	27.334981	92.52994	1819	FALSE	6757	LandB2017
441	164_theroot	the root	Jerigaon	Jer.	i.hĩ	i.hĩ	i + h ĩ	jeri1243	670	27.340629	92.486595	1819	FALSE	6758	LandB2017
442	164_theroot	the root	Khoitam	Kht.	a.hĩ	a.hĩ	a + h ĩ	khoi1252	670	27.327487	92.439455	1819	FALSE	6759	LandB2017
443	164_theroot	the root	Rahung	Rah.	ə.hĩ	ə.hĩ	ə + h ĩ	rahu1234	670	27.310778	92.395028	1819	FALSE	6760	LandB2017
444	164_theroot	the root	Rupa	Rup.	ə.hĩ	ə.hĩ	ə + h ĩ	rupa1234	670	27.203065	92.398757	1819	FALSE	6761	LandB2017
445	164_theroot	the root	Shergaon	She.	ra.bɔˀ	ra.bɔˀ	r a + b ɔˀ	sher1261	670	27.105018	92.272133	3573	TRUE	6762	LandB2017
446	164_theroot	the root	BhutanTshangla	Tshangla	ra+ʨi	ra+ʨi	r a + tɕ i	tsha1245	670	27.337241	91.551654	3573	TRUE	6763	LandB2017
111	165_therope	the rope	BuluPuroik	BP	a.tãã	a.tãã	a + t ãː	bulu1255	1218	27.452241	92.44563	1011	FALSE	6802	Lieberherr2017
112	165_therope	the rope	DikhyangBugun	Bugun S-D	ra.tʰɔŋ	ra.tʰɔŋ	r a + tʰ ɔ ŋ	dikh1234	1218	27.320666	92.455119	1011	FALSE	6803	LandB2017
113	165_therope	the rope	Khispi	Khs.	tʰak	tʰak	tʰ a k	lish1235	1218	27.378042	92.223221	540	FALSE	6804	LandB2017
114	165_therope	the rope	Duhumbi	Duh.	tʰak	tʰak	tʰ a k	chug1252	1218	27.416112	92.212034	540	FALSE	6805	LandB2017
115	165_therope	the rope	Khoina	Khn.	ɕ.tʰak	ɕ.tʰak	ɕ + tʰ a k	khoi1253	1218	27.334981	92.52994	540	FALSE	6806	LandB2017
116	165_therope	the rope	Jerigaon	Jer.	s.tʰak	s.tʰak	s + tʰ a k	jeri1243	1218	27.340629	92.486595	540	FALSE	6807	LandB2017
117	165_therope	the rope	Khoitam	Kht.	tʰak	tʰak	tʰ a k	khoi1252	1218	27.327487	92.439455	540	FALSE	6808	LandB2017
118	165_therope	the rope	Rahung	Rah.	tʰak	tʰak	tʰ a k	rahu1234	1218	27.310778	92.395028	540	FALSE	6809	LandB2017
119	165_therope	the rope	Rupa	Rup.	tʰak	tʰak	tʰ a k	rupa1234	1218	27.203065	92.398757	540	FALSE	6810	LandB2017
120	165_therope	the rope	Shergaon	She.	tʰak	tʰak	tʰ a k	sher1261	1218	27.105018	92.272133	540	FALSE	6811	LandB2017
121	165_therope	the rope	BhutanTshangla	Tshangla	tʰak+pa	tʰak+pa	tʰ a k + p a	tsha1245	1218	27.337241	91.551654	540	FALSE	6812	LandB2017
678	168_thesalt	the salt	BuluPuroik	BP	fəu	fəu	f əu	bulu1255	1274	27.452241	92.44563	1012	FALSE	6950	Lieberherr2017
679	168_thesalt	the salt	DikhyangBugun	Bugun S-D	sə.ruə	sə.ruə	s ə + r u/w ə	dikh1234	1274	27.320666	92.455119	1017	FALSE	6951	LandB2017
680	168_thesalt	the salt	Khispi	Khs.	ha	ha	h a	lish1235	1274	27.378042	92.223221	687	FALSE	6952	LandB2017
681	168_thesalt	the salt	Duhumbi	Duh.	ha	ha	h a	chug1252	1274	27.416112	92.212034	687	FALSE	6953	LandB2017
682	168_thesalt	the salt	Khoina	Khn.	hũ	hũ	h ũ	khoi1253	1274	27.334981	92.52994	687	FALSE	6954	LandB2017
683	168_thesalt	the salt	Jerigaon	Jer.	huŋ	huŋ	h u ŋ	jeri1243	1274	27.340629	92.486595	687	FALSE	6955	LandB2017
684	168_thesalt	the salt	Khoitam	Kht.	huŋ	huŋ	h u ŋ	khoi1252	1274	27.327487	92.439455	687	FALSE	6956	LandB2017
685	168_thesalt	the salt	Rahung	Rah.	hũ	hũ	h ũ	rahu1234	1274	27.310778	92.395028	687	FALSE	6957	LandB2017
686	168_thesalt	the salt	Rupa	Rup.	hũ	hũ	h ũ	rupa1234	1274	27.203065	92.398757	687	FALSE	6958	LandB2017
687	168_thesalt	the salt	Shergaon	She.	huŋ	huŋ	h u ŋ	sher1261	1274	27.105018	92.272133	687	FALSE	6959	LandB2017
688	168_thesalt	the salt	BhutanTshangla	Tshangla	in+ʨʰa	in+ʨʰa	i n + tɕʰ a	tsha1245	1274	27.337241	91.551654	4160	TRUE	6960	LandB2017
1897	170_thesand	the sand	BuluPuroik	BP	səm.pjɛɛ	səm.pjɛɛ	s ə m + p j ɛː	bulu1255	671	27.452241	92.44563	10567	FALSE	7000	Lieberherr2017
1898	170_thesand	the sand	DikhyangBugun	Bugun S-D	ba.li	ba.li	b a + l i	dikh1234	671	27.320666	92.455119	10565	TRUE	7001	LandB2017
1899	170_thesand	the sand	Khispi	Khs.	bɛ.tsa	bɛ.tsa	b ɛ + ts a	lish1235	671	27.378042	92.223221	118	TRUE	7002	LandB2017
1900	170_thesand	the sand	Duhumbi	Duh.	bɛ.tsa	bɛ.tsa	b ɛ + ts a	chug1252	671	27.416112	92.212034	118	TRUE	7003	LandB2017
1901	170_thesand	the sand	Khoina	Khn.	gɔ.pʰɑ	gɔ.pʰɑ	g ɔ + pʰ ɑ	khoi1253	671	27.334981	92.52994	1018	FALSE	7004	LandB2017
1902	170_thesand	the sand	Jerigaon	Jer.	kʰ.pʰaˀ	kʰ.pʰaˀ	kʰ + pʰ aˀ	jeri1243	671	27.340629	92.486595	1018	FALSE	7005	LandB2017
1903	170_thesand	the sand	Khoitam	Kht.	kʰə.pʰɔ	kʰə.pʰɔ	kʰ ə + pʰ ɔ	khoi1252	671	27.327487	92.439455	1018	FALSE	7006	LandB2017
1904	170_thesand	the sand	Rahung	Rah.	kʰə.bo	kʰə.bo	kʰ ə + b o	rahu1234	671	27.310778	92.395028	1018	FALSE	7007	LandB2017
1905	170_thesand	the sand	Rupa	Rup.	mə.kʰɔ	mə.kʰɔ	m ə + kʰ ɔ	rupa1234	671	27.203065	92.398757	1018	FALSE	7008	LandB2017
1906	170_thesand	the sand	Shergaon	She.	be.tɕɔˀ	be.tɕɔˀ	b e + tɕ ɔˀ	sher1261	671	27.105018	92.272133	118	TRUE	7009	LandB2017
1907	170_thesand	the sand	BhutanTshangla	Tshangla	be+ʦa	be+ʦa	b e + ts a	tsha1245	671	27.337241	91.551654	118	TRUE	7010	LandB2017
2531	172_thesea	the sea	BuluPuroik	BP	kʰɔː+raʔ	kʰɔː+raʔ	kʰ ɔː + r a ʔ	bulu1255	1474	27.452241	92.44563		FALSE	0	Lieberherr2017
2532	172_thesea	the sea	Khispi	Khs.	dʑam+tsʰo	dʑam+tsʰo	dʑ a m + tsʰ o	lish1235	1474	27.378042	92.223221		FALSE	0	LandB2017
2533	172_thesea	the sea	Duhumbi	Duh.	dʑam+tsʰo	dʑam+tsʰo	dʑ a m + tsʰ o	chug1252	1474	27.416112	92.212034		FALSE	0	LandB2017
2534	172_thesea	the sea	BhutanTshangla	Tshangla	dʑam+tsʰo	dʑam+tsʰo	dʑ a m + tsʰ o	tsha1245	1474	27.337241	91.551654		FALSE	0	LandB2017
1527	174_theseed	the seed	BuluPuroik	BP	a.ləə	a.ləə	a + l əː	bulu1255	714	27.452241	92.44563	4007	FALSE	7146	Lieberherr2017
1528	174_theseed	the seed	DikhyangBugun	Bugun S-D	ə.raj	ə.raj	ə + r a j	dikh1234	714	27.320666	92.455119	4165	FALSE	7147	LandB2017
1529	174_theseed	the seed	Khispi	Khs.	li	li	l i	lish1235	714	27.378042	92.223221	4007	FALSE	7148	LandB2017
1530	174_theseed	the seed	Duhumbi	Duh.	li	li	l i	chug1252	714	27.416112	92.212034	4007	FALSE	7149	LandB2017
1531	174_theseed	the seed	Khoina	Khn.	a.li	a.li	a + l i	khoi1253	714	27.334981	92.52994	4007	FALSE	7150	LandB2017
1532	174_theseed	the seed	Jerigaon	Jer.	a.li	a.li	a + l i	jeri1243	714	27.340629	92.486595	4007	FALSE	7151	LandB2017
1533	174_theseed	the seed	Khoitam	Kht.	a.ri	a.ri	a + r i	khoi1252	714	27.327487	92.439455	4007	FALSE	7152	LandB2017
1534	174_theseed	the seed	Rahung	Rah.	a.li	a.li	a + l i	rahu1234	714	27.310778	92.395028	4007	FALSE	7153	LandB2017
1535	174_theseed	the seed	Rupa	Rup.	a.li	a.li	a + l i	rupa1234	714	27.203065	92.398757	4007	FALSE	7154	LandB2017
1536	174_theseed	the seed	Shergaon	She.	a.li	a.li	a + l i	sher1261	714	27.105018	92.272133	4007	FALSE	7155	LandB2017
1537	174_theseed	the seed	BhutanTshangla	Tshangla	li	li	l i	tsha1245	714	27.337241	91.551654	4007	FALSE	7156	LandB2017
1547	177_thesheep	the sheep	BuluPuroik	BP	sə.ləʔ	sə.ləʔ	s ə + l ə ʔ	bulu1255	1331	27.452241	92.44563	1428	FALSE	7285	Lieberherr2017
1548	177_thesheep	the sheep	DikhyangBugun	Bugun S-D	sə.ɕuɛ	sə.ɕuɛ	s ə + ɕ u/w ɛ	dikh1234	1331	27.320666	92.455119	3028	FALSE	7286	LandB2017
1549	177_thesheep	the sheep	Khispi	Khs.	ɕi.ki	ɕi.ki	ɕ i + k i	lish1235	1331	27.378042	92.223221	2284	FALSE	7287	LandB2017
1550	177_thesheep	the sheep	Duhumbi	Duh.	ɕa.kɛj	ɕa.kɛj	ɕ a + k ɛ j	chug1252	1331	27.416112	92.212034	2284	FALSE	7288	LandB2017
1551	177_thesheep	the sheep	Khoina	Khn.	ʂ.kʰa	ʂ.kʰa	ʂ + kʰ a	khoi1253	1331	27.334981	92.52994	2284	FALSE	7289	LandB2017
1552	177_thesheep	the sheep	Jerigaon	Jer.	s.kʰɛ	s.kʰɛ	s + kʰ ɛ	jeri1243	1331	27.340629	92.486595	2284	FALSE	7290	LandB2017
1553	177_thesheep	the sheep	Khoitam	Kht.	hɛ	hɛ	h ɛ	khoi1252	1331	27.327487	92.439455	2284	FALSE	7291	LandB2017
1554	177_thesheep	the sheep	Rahung	Rah.	s.kʰɛ	s.kʰɛ	s + kʰ ɛ	rahu1234	1331	27.310778	92.395028	2284	FALSE	7292	LandB2017
1555	177_thesheep	the sheep	Rupa	Rup.	s.ka	s.ka	s + k a	rupa1234	1331	27.203065	92.398757	2284	FALSE	7293	LandB2017
