RID	DOCULECT	CONCEPT	CONCEPTICON_GLOSS	PARAMETER_ID	CONCEPTICON_ID	VALUE	FORM	SOURCE	NOTES	SEGMENTS
1240	PH	sun	SUN		1343	*d͡ʑuʔ	dʑuʔ			
1246	PH	tail	TAIL		1220	*mə-lə-mrjaj	mə+lə+mrjaj			
1249	PH	ten	TEN		1515	*rəŋ	rəŋ			
1250	PH	that	THAT		78	*paj-t͡ɕi	paj+tɕi			
1251	PH	that (lower)	THAT		78	*pu-t͡ɕi	pu+tɕi			
1252	PH	thigh	UPPER LEG (THIGH)		471	*mə-lu	mə+lu			
1253	PH	think	THINK (REFLECT)		1415	-	Ø			
1254	PH	this	THIS		1214	*huŋ	huŋ			
1256	PH	three	THREE		492	*gə-θəm	gə+θəm			
1259	PH	tongue	TONGUE		1205	*bə-laj	bə+laj			
1260	PH	tooth	TOOTH		1380	*mə-taC	mə+taC			
1261	PH	tree	TREE		906	*(g)o-naj	(g)o+naj			
1263	PH	two	TWO		1498	*gə-niC	gə+niC			
1266	PH	vomit	VOMIT		1278	*mu	mu			
1267	PH	walk	WALK		1443	*daj	daj			
1268	PH	hot, warm	HOT		1286	*t͡ɕaC	tɕaC			
1269	PH	water	WATER		948	*wi	wi			
1272	PH	what	WHAT		1236	*tiŋ	tiŋ			
1273	PH	where	WHERE		1237	*kəʔ	kəʔ			
1274	PH	white	WHITE		1335	*mə-gə-raN	mə+gə+raN			
1275	PH	who	WHO		1235	*θu	θu			
1276	PH	wind	WIND		960	*low	low			
1278	PH	wing	WING		1257	*gə/mə-t͡ɕəwC	gə/mə+tɕəwC			
1280	PH	wood	WOOD		1803	*(g)o	(g)o			
1281	PH	woman	WOMAN		962	*nəməraj	nəməraj			
1282	PH	year	YEAR		1226	*də-niŋ	də+niŋ			
1283	PH	yesterday	YESTERDAY		1174	*də-gaC	də+gaC			
1285	PH	1SG	I		1209	*na(-jaŋ)	na(+jaŋ)			
1286	PH	2SG	THOU		1215	*ni	ni			
1287	PH	3SG	HE OR SHE OR IT		262	*ʔi	ʔi			
1289	PH	1PL	WE (INCLUSIVE)		1131	*ka-ni	ka+ni			
1290	PH	2PL	YOU		1213	*d͡ʑV	dʑV			
